Zip Code,Date,Total Doses - Daily,Total Doses - Cumulative,1st Dose - Daily,1st Dose - Cumulative,1st Dose - Percent Population,Vaccine Series Completed - Daily,Vaccine Series Completed - Cumulative,Vaccine Series Completed  - Percent Population,Population,ZIP Code Location,Row_ID
60603,12/15/2020,0,0,0,0,0,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201215
60603,12/16/2020,0,0,0,0,0,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201216
60603,12/17/2020,8,8,8,8,0.008,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201217
60603,12/18/2020,6,14,6,14,0.013,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201218
60603,12/19/2020,3,17,3,17,0.016,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201219
60603,12/20/2020,4,21,4,21,0.02,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201220
60603,12/21/2020,5,26,5,26,0.025,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201221
60603,12/22/2020,7,33,7,33,0.031,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201222
60603,12/23/2020,0,33,0,33,0.031,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201223
60603,12/24/2020,1,34,1,34,0.032,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201224
60603,12/25/2020,0,34,0,34,0.032,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201225
60603,12/26/2020,0,34,0,34,0.032,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201226
60603,12/27/2020,0,34,0,34,0.032,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201227
60603,12/28/2020,1,35,1,35,0.033,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201228
60603,12/29/2020,2,37,2,37,0.035,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201229
60603,12/30/2020,3,40,3,40,0.038,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201230
60603,12/31/2020,1,41,1,41,0.039,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201231
60603,01/01/2021,0,41,0,41,0.039,0,0,0,1052,POINT (-87.625473 41.880112),60603-20210101
60603,01/03/2021,0,41,0,41,0.039,0,0,0,1052,POINT (-87.625473 41.880112),60603-20210103
60603,01/04/2021,3,44,3,44,0.042,0,0,0,1052,POINT (-87.625473 41.880112),60603-20210104
60603,01/05/2021,3,47,2,46,0.044,1,1,0.001,1052,POINT (-87.625473 41.880112),60603-20210105
60603,01/06/2021,1,48,1,47,0.045,0,1,0.001,1052,POINT (-87.625473 41.880112),60603-20210106
60603,01/07/2021,14,62,4,51,0.048,10,11,0.01,1052,POINT (-87.625473 41.880112),60603-20210107
60603,01/08/2021,9,71,2,53,0.05,7,18,0.017,1052,POINT (-87.625473 41.880112),60603-20210108
60603,01/09/2021,40,111,36,89,0.085,4,22,0.021,1052,POINT (-87.625473 41.880112),60603-20210109
60603,01/10/2021,4,115,2,91,0.087,2,24,0.023,1052,POINT (-87.625473 41.880112),60603-20210110
60603,01/11/2021,1,116,0,91,0.087,1,25,0.024,1052,POINT (-87.625473 41.880112),60603-20210111
60603,01/12/2021,7,123,1,92,0.087,6,31,0.029,1052,POINT (-87.625473 41.880112),60603-20210112
60603,01/13/2021,2,125,2,94,0.089,0,31,0.029,1052,POINT (-87.625473 41.880112),60603-20210113
60603,01/14/2021,5,130,4,98,0.093,1,32,0.03,1052,POINT (-87.625473 41.880112),60603-20210114
60603,01/15/2021,10,140,10,108,0.103,0,32,0.03,1052,POINT (-87.625473 41.880112),60603-20210115
60603,01/16/2021,37,177,36,144,0.137,1,33,0.031,1052,POINT (-87.625473 41.880112),60603-20210116
60603,01/17/2021,2,179,2,146,0.139,0,33,0.031,1052,POINT (-87.625473 41.880112),60603-20210117
60603,01/18/2021,3,182,3,149,0.142,0,33,0.031,1052,POINT (-87.625473 41.880112),60603-20210118
60603,01/19/2021,0,182,0,149,0.142,0,33,0.031,1052,POINT (-87.625473 41.880112),60603-20210119
60603,01/21/2021,13,202,10,166,0.158,3,36,0.034,1052,POINT (-87.625473 41.880112),60603-20210121
60603,01/22/2021,21,223,21,187,0.178,0,36,0.034,1052,POINT (-87.625473 41.880112),60603-20210122
60603,01/23/2021,9,232,9,196,0.186,0,36,0.034,1052,POINT (-87.625473 41.880112),60603-20210123
60603,01/24/2021,2,234,1,197,0.187,1,37,0.035,1052,POINT (-87.625473 41.880112),60603-20210124
60603,01/25/2021,3,237,2,199,0.189,1,38,0.036,1052,POINT (-87.625473 41.880112),60603-20210125
60603,01/26/2021,6,243,4,203,0.193,2,40,0.038,1052,POINT (-87.625473 41.880112),60603-20210126
60603,01/27/2021,70,313,70,273,0.26,0,40,0.038,1052,POINT (-87.625473 41.880112),60603-20210127
60602,05/11/2021,9,1841,0,1055,0.921,9,839,0.733,1145,POINT (-87.628309 41.883136),60602-20210511
