"date","vaccine_series_completed_percent_population","zip_code"
2020-12-15,0,"Citywide"
2020-12-16,0,"Citywide"
2020-12-17,0,"Citywide"
2020-12-18,0,"Citywide"
2020-12-19,0,"Citywide"
2020-12-20,0,"Citywide"
2020-12-21,0,"Citywide"
2020-12-22,0,"Citywide"
2020-12-23,0,"Citywide"
2020-12-24,0,"Citywide"
2020-12-25,0,"Citywide"
2020-12-26,0,"Citywide"
2020-12-27,0,"Citywide"
2020-12-28,0,"Citywide"
2020-12-29,0,"Citywide"
2020-12-30,0,"Citywide"
2020-12-31,0,"Citywide"
2021-01-01,0,"Citywide"
2021-01-02,0,"Citywide"
2021-01-03,0,"Citywide"
2021-01-04,0,"Citywide"
2021-01-05,0,"Citywide"
2021-01-06,0,"Citywide"
2021-01-07,0.002,"Citywide"
2021-01-08,0.004,"Citywide"
2021-01-09,0.004,"Citywide"
2021-01-10,0.005,"Citywide"
2021-01-11,0.006,"Citywide"
2021-01-12,0.007,"Citywide"
2021-01-13,0.008,"Citywide"
2021-01-14,0.008,"Citywide"
2021-01-15,0.009,"Citywide"
2021-01-16,0.009,"Citywide"
2021-01-17,0.009,"Citywide"
2021-01-18,0.009,"Citywide"
2021-01-19,0.01,"Citywide"
2021-01-20,0.011,"Citywide"
2021-01-21,0.012,"Citywide"
2021-01-22,0.012,"Citywide"
2021-01-23,0.012,"Citywide"
2021-01-24,0.012,"Citywide"
2021-01-25,0.013,"Citywide"
2021-01-26,0.014,"Citywide"
2021-01-27,0.016,"Citywide"
2021-01-28,0.016,"Citywide"
2021-01-29,0.017,"Citywide"
2021-01-30,0.017,"Citywide"
2021-01-31,0.017,"Citywide"
2021-02-01,0.018,"Citywide"
2021-02-02,0.02,"Citywide"
2021-02-03,0.021,"Citywide"
2021-02-04,0.022,"Citywide"
2021-02-05,0.023,"Citywide"
2021-02-06,0.024,"Citywide"
2021-02-07,0.024,"Citywide"
2021-02-08,0.025,"Citywide"
2021-02-09,0.027,"Citywide"
2021-02-10,0.029,"Citywide"
2021-02-11,0.031,"Citywide"
2021-02-12,0.034,"Citywide"
2021-02-13,0.035,"Citywide"
2021-02-14,0.036,"Citywide"
2021-02-15,0.036,"Citywide"
2021-02-16,0.037,"Citywide"
2021-02-17,0.04,"Citywide"
2021-02-18,0.043,"Citywide"
2021-02-19,0.046,"Citywide"
2021-02-20,0.047,"Citywide"
2021-02-21,0.048,"Citywide"
2021-02-22,0.05,"Citywide"
2021-02-23,0.053,"Citywide"
2021-02-24,0.056,"Citywide"
2021-02-25,0.059,"Citywide"
2021-02-26,0.063,"Citywide"
2021-02-27,0.065,"Citywide"
2021-02-28,0.066,"Citywide"
2021-03-01,0.068,"Citywide"
2021-03-02,0.071,"Citywide"
2021-03-03,0.074,"Citywide"
2021-03-04,0.078,"Citywide"
2021-03-05,0.081,"Citywide"
2021-03-06,0.083,"Citywide"
2021-03-07,0.084,"Citywide"
2021-03-08,0.087,"Citywide"
2021-03-09,0.09,"Citywide"
2021-03-10,0.093,"Citywide"
2021-03-11,0.097,"Citywide"
2021-03-12,0.101,"Citywide"
2021-03-13,0.104,"Citywide"
2021-03-14,0.105,"Citywide"
2021-03-15,0.108,"Citywide"
2021-03-16,0.111,"Citywide"
2021-03-17,0.113,"Citywide"
2021-03-18,0.116,"Citywide"
2021-03-19,0.119,"Citywide"
2021-03-20,0.122,"Citywide"
2021-03-21,0.123,"Citywide"
2021-03-22,0.125,"Citywide"
2021-03-23,0.127,"Citywide"
2021-03-24,0.13,"Citywide"
2021-03-25,0.134,"Citywide"
2021-03-26,0.138,"Citywide"
2021-03-27,0.142,"Citywide"
